tweetId,time,text,replies,retweets,likes,entries,keyword
1228302876608466944,2020-02-14 18:30:01,Ready to find your perfect match? Perfect beverage match that is.pic.twitter.com/vtomMmK8FE,37,110,806,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EQqrVJJUUAA9CKN.jpg'], 'videos': []}",starbucks
1227940488851927040,2020-02-13 18:30:01,"Happy Hour's today! 
We'll see you at two.
Get a treat for yourself
and your Valentine too. 

Buy any handcrafted drink, grande or larger, get one free today (2/13) from 2-7pm at participating US & Canada stores.",63,209,1916,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1227593198001774594,2020-02-12 19:30:00,"It’s almost the day. No time left to wait. Send the right message to your valentine’s date. 

 Dragon Drink—LOML 
 Pink Drink—BFFL 
 Violet Drink—All for me pic.twitter.com/olpg7gUklH",202,1205,9067,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EQNNvQsUYAAg-C-.jpg'], 'videos': []}",starbucks
1227215711459672064,2020-02-11 18:30:00,Just a reminder. pic.twitter.com/9t3Bu9jPks,30,573,2103,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'EQcY6XyUYAAX9Dq'}]}",starbucks
1225434062136860672,2020-02-08 05:51:00,The votes are in! pic.twitter.com/mtOixzUK9n,24,60,594,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EQNnsagUEAAVGs_.jpg'], 'videos': []}",starbucks
1225788569244954624,2020-02-07 19:59:03,"Amount |          ___/
of snow |         /
falling    |  ___/
outside  |/__________
                Amount of
                Cold Brew
                sipped",35,228,2311,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-07 04:30:13,"Sometimes it's not the destination, but the journey.  The nominees for Best Way to Order are:",27,25,274,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-07 03:30:42,"Whether in a drink or a snack, we all have a favorite flavor.  The contestants in this Flavor Face-Off are:",21,24,179,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-07 02:54:11,"Perfect in their own ways, we always find ourselves coming back around to these circular classics.  The nominees for All 'Round Champion are:",16,19,143,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-07 01:35:00,Many of our favorite drinks begin with a simple shot of espresso.  The nominees for Best Espresso Expression are:,17,20,149,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
